 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   4.83351446E+00  1.82735190E-03  3.01722E-12 -6.92190E-13  1.28669E-13 -2.95203E-14
   4.93216096E+00  1.90265095E-03  2.89893E-12 -6.59669E-13  1.26144E-13 -2.87034E-14
   5.03080765E+00  1.97946729E-03  2.78746E-12 -6.29232E-13  1.23728E-13 -2.79309E-14
   5.12945456E+00  2.05780069E-03  2.68232E-12 -6.00722E-13  1.21396E-13 -2.71873E-14
   5.22810167E+00  2.13765091E-03  2.58302E-12 -5.73968E-13  1.19153E-13 -2.64764E-14
   5.32674900E+00  2.21901770E-03  2.48915E-12 -5.48849E-13  1.16995E-13 -2.57980E-14
   5.42539655E+00  2.30190082E-03  2.40030E-12 -5.25227E-13  1.14908E-13 -2.51428E-14
   5.52404432E+00  2.38630001E-03  2.31613E-12 -5.02993E-13  1.12901E-13 -2.45198E-14
   5.62269232E+00  2.47221502E-03  2.23633E-12 -4.82046E-13  1.10958E-13 -2.39168E-14
   5.72134054E+00  2.55964559E-03  2.16057E-12 -4.62285E-13  1.09085E-13 -2.33404E-14
   5.81998901E+00  2.64859144E-03  2.08861E-12 -4.43633E-13  1.07273E-13 -2.27858E-14
   5.91863771E+00  2.73905232E-03  2.02019E-12 -4.26003E-13  1.05519E-13 -2.22506E-14
   6.01728665E+00  2.83102793E-03  1.95508E-12 -4.09330E-13  1.03826E-13 -2.17385E-14
   6.11593584E+00  2.92451801E-03  1.89307E-12 -3.93546E-13  1.02181E-13 -2.12418E-14
   6.21458528E+00  3.01952227E-03  1.83396E-12 -3.78589E-13  1.00593E-13 -2.07661E-14
   6.31323498E+00  3.11604042E-03  1.77759E-12 -3.64409E-13  9.90504E-14 -2.03056E-14
   6.41188494E+00  3.21407216E-03  1.72377E-12 -3.50948E-13  9.75553E-14 -1.98615E-14
   6.51053516E+00  3.31361720E-03  1.67236E-12 -3.38166E-13  9.61065E-14 -1.94341E-14
   6.60918564E+00  3.41467523E-03  1.62322E-12 -3.26016E-13  9.46975E-14 -1.90191E-14
   6.70783640E+00  3.51724595E-03  1.57622E-12 -3.14459E-13  9.33325E-14 -1.86205E-14
   6.80648743E+00  3.62132904E-03  1.53123E-12 -3.03460E-13  9.20039E-14 -1.82332E-14
   6.90513874E+00  3.72692418E-03  1.48814E-12 -2.92981E-13  9.07143E-14 -1.78598E-14
   7.00379033E+00  3.83403106E-03  1.44684E-12 -2.82996E-13  8.94603E-14 -1.74983E-14
   7.10244222E+00  3.94264934E-03  1.40724E-12 -2.73470E-13  8.82395E-14 -1.71475E-14
   7.20109439E+00  4.05277870E-03  1.36924E-12 -2.64381E-13  8.70537E-14 -1.68093E-14
   7.29974686E+00  4.16441881E-03  1.33276E-12 -2.55701E-13  8.58973E-14 -1.64799E-14
   7.39839962E+00  4.27756931E-03  1.29772E-12 -2.47406E-13  8.47731E-14 -1.61620E-14
   7.49705269E+00  4.39222987E-03  1.26404E-12 -2.39478E-13  8.36771E-14 -1.58530E-14
   7.59570607E+00  4.50840014E-03  1.23166E-12 -2.31891E-13  8.26092E-14 -1.55533E-14
   7.69435976E+00  4.62607976E-03  1.20051E-12 -2.24632E-13  8.15691E-14 -1.52631E-14
   7.79301376E+00  4.74526838E-03  1.17052E-12 -2.17679E-13  8.05536E-14 -1.49803E-14
   7.89166809E+00  4.86596563E-03  1.14164E-12 -2.11017E-13  7.95646E-14 -1.47068E-14
   7.99032273E+00  4.98817114E-03  1.11382E-12 -2.04631E-13  7.85985E-14 -1.44402E-14
   8.08897771E+00  5.11188455E-03  1.08700E-12 -1.98506E-13  7.76564E-14 -1.41816E-14
   8.18763301E+00  5.23710547E-03  1.06113E-12 -1.92629E-13  7.67365E-14 -1.39303E-14
   8.28628866E+00  5.36383352E-03  1.03618E-12 -1.86986E-13  7.58377E-14 -1.36854E-14
   8.38494464E+00  5.49206832E-03  1.01210E-12 -1.81566E-13  7.49608E-14 -1.34479E-14
   8.48360096E+00  5.62180948E-03  9.88847E-13 -1.76359E-13  7.41028E-14 -1.32161E-14
   8.58225763E+00  5.75305660E-03  9.66384E-13 -1.71352E-13  7.32652E-14 -1.29911E-14
   8.68091465E+00  5.88580928E-03  9.44679E-13 -1.66537E-13  7.24459E-14 -1.27716E-14
   8.77957203E+00  6.02006712E-03  9.23695E-13 -1.61904E-13  7.16447E-14 -1.25579E-14
   8.87822977E+00  6.15582970E-03  9.03402E-13 -1.57445E-13  7.08616E-14 -1.23500E-14
   8.97688787E+00  6.29309662E-03  8.83769E-13 -1.53151E-13  7.00946E-14 -1.21469E-14
   9.07554634E+00  6.43186746E-03  8.64768E-13 -1.49015E-13  6.93450E-14 -1.19496E-14
   9.17420518E+00  6.57214180E-03  8.46374E-13 -1.45028E-13  6.86105E-14 -1.17567E-14
   9.27286440E+00  6.71391920E-03  8.28558E-13 -1.41185E-13  6.78918E-14 -1.15688E-14
   9.37152399E+00  6.85719923E-03  8.11298E-13 -1.37479E-13  6.71881E-14 -1.13856E-14
   9.47018397E+00  7.00198146E-03  7.94571E-13 -1.33903E-13  6.64985E-14 -1.12065E-14
   9.56884434E+00  7.14826546E-03  7.78355E-13 -1.30452E-13  6.58234E-14 -1.10322E-14
   9.66750510E+00  7.29605076E-03  7.62629E-13 -1.27120E-13  6.51613E-14 -1.08616E-14
   9.76616625E+00  7.44533692E-03  7.47374E-13 -1.23902E-13  6.45129E-14 -1.06954E-14
   9.86482780E+00  7.59612349E-03  7.32572E-13 -1.20794E-13  6.38770E-14 -1.05329E-14
   1.01114835E+01  7.97965118E-03  6.97429E-13 -1.13470E-13  6.23410E-14 -1.01428E-14
   1.03581417E+01  8.37254622E-03  6.64749E-13 -1.06732E-13  6.08771E-14 -9.77452E-15
   1.06048026E+01  8.77480114E-03  6.34307E-13 -1.00522E-13  5.94803E-14 -9.42625E-15
   1.08514662E+01  9.18640828E-03  6.05903E-13 -9.47878E-14  5.81462E-14 -9.09654E-15
   1.10981326E+01  9.60735980E-03  5.79359E-13 -8.94847E-14  5.68705E-14 -8.78403E-15
   1.13448018E+01  1.00376477E-02  5.54516E-13 -8.45719E-14  5.56494E-14 -8.48749E-15
   1.15914739E+01  1.04772638E-02  5.31231E-13 -8.00135E-14  5.44796E-14 -8.20580E-15
   1.18381489E+01  1.09261996E-02  5.09377E-13 -7.57776E-14  5.33579E-14 -7.93795E-15
   1.20848270E+01  1.13844468E-02  4.88838E-13 -7.18357E-14  5.22813E-14 -7.68300E-15
   1.23315082E+01  1.18519964E-02  4.69511E-13 -6.81625E-14  5.12471E-14 -7.44010E-15
   1.25781925E+01  1.23288397E-02  4.51303E-13 -6.47350E-14  5.02529E-14 -7.20847E-15
   1.28248800E+01  1.28149676E-02  4.34128E-13 -6.15328E-14  4.92963E-14 -6.98740E-15
   1.30715707E+01  1.33103708E-02  4.17909E-13 -5.85373E-14  4.83753E-14 -6.77623E-15
   1.33182649E+01  1.38150398E-02  4.02578E-13 -5.57320E-14  4.74879E-14 -6.57434E-15
   1.35649624E+01  1.43289651E-02  3.88069E-13 -5.31018E-14  4.66323E-14 -6.38119E-15
   1.38116633E+01  1.48521369E-02  3.74326E-13 -5.06330E-14  4.58068E-14 -6.19625E-15
   1.40583678E+01  1.53845451E-02  3.61296E-13 -4.83134E-14  4.50097E-14 -6.01905E-15
   1.43050758E+01  1.59261798E-02  3.48929E-13 -4.61317E-14  4.42398E-14 -5.84915E-15
   1.45517875E+01  1.64770305E-02  3.37181E-13 -4.40777E-14  4.34955E-14 -5.68613E-15
